name,type,power,accuracy,category,effectId
Strength,NORMAL,80,100,PHYSICAL,NONE
Absorb,GRASS,20,100,SPECIAL,HEAL_USER
Mega Drain,GRASS,40,100,SPECIAL,HEAL_USER
Leech Seed,GRASS,0,90,STATUS,HEAL_USER
Growth,NORMAL,0,100,STATUS,BOOST_SPA
Razor Leaf,GRASS,55,95,PHYSICAL,CRIT
Solar Beam,GRASS,120,100,SPECIAL,CHARGE
Poison Powder,POISON,0,75,STATUS,POISON
Stun Spore,GRASS,0,75,STATUS,PARALYZE
Sleep Powder,GRASS,0,75,STATUS,SLEEP
Petal Dance,GRASS,120,100,SPECIAL,CONFUSE
String Shot,BUG,0,95,STATUS,LOWER_SPD
Dragon Rage,DRAGON,0,100,SPECIAL,FIXED
Fire Spin,FIRE,35,85,SPECIAL,TRAP
Thunder Shock,ELECTRIC,40,100,SPECIAL,PARALYZE
Thunderbolt,ELECTRIC,90,100,SPECIAL,PARALYZE
Thunder Wave,ELECTRIC,0,90,STATUS,PARALYZE
Thunder,ELECTRIC,110,70,SPECIAL,PARALYZE
Rock Throw,ROCK,50,90,PHYSICAL,NONE
Earthquake,GROUND,100,100,PHYSICAL,NONE
Fissure,GROUND,0,30,PHYSICAL,OHKO
Dig,GROUND,80,100,PHYSICAL,CHARGE
Toxic,POISON,0,90,STATUS,BAD_POISON
Confusion,PSYCHIC,50,100,SPECIAL,CONFUSE
Psychic,PSYCHIC,90,100,SPECIAL,LOWER_SPD
Hypnosis,PSYCHIC,0,60,STATUS,SLEEP
Meditate,PSYCHIC,0,100,STATUS,BOOST_ATK
Agility,PSYCHIC,0,100,STATUS,BOOST_SPD
Quick Attack,NORMAL,40,100,PHYSICAL,PRIORITY
Rage,NORMAL,20,100,PHYSICAL,RAMP
Teleport,PSYCHIC,0,100,STATUS,ESCAPE
Night Shade,GHOST,0,100,SPECIAL,FIXED
Mimic,NORMAL,0,100,STATUS,COPY
Screech,NORMAL,0,85,STATUS,LOWER_DEF
Double Team,NORMAL,0,100,STATUS,BOOST_EVA
Recover,NORMAL,0,100,STATUS,HEAL_USER
Harden,NORMAL,0,100,STATUS,BOOST_DEF
Minimize,NORMAL,0,100,STATUS,BOOST_EVA
Smokescreen,NORMAL,0,100,STATUS,LOWER_ACC
Confuse Ray,GHOST,0,100,STATUS,CONFUSE
Withdraw,WATER,0,100,STATUS,BOOST_DEF
Defense Curl,NORMAL,0,100,STATUS,BOOST_DEF
Barrier,PSYCHIC,0,100,STATUS,BOOST_DEF
Light Screen,PSYCHIC,0,100,STATUS,PROTECT_SPE
Haze,ICE,0,100,STATUS,RESET_STATS
Reflect,PSYCHIC,0,100,STATUS,PROTECT_PHY
Focus Energy,NORMAL,0,100,STATUS,BOOST_CRIT
Bide,NORMAL,0,100,PHYSICAL,STORE_DAMAGE
Metronome,NORMAL,0,100,STATUS,RANDOM_MOVE
Mirror Move,FLYING,0,100,STATUS,COPY
Self-Destruct,NORMAL,200,100,PHYSICAL,KO_USER
Egg Bomb,NORMAL,100,75,PHYSICAL,NONE
Lick,GHOST,30,100,PHYSICAL,PARALYZE
Smog,POISON,30,70,SPECIAL,POISON
Sludge,POISON,65,100,SPECIAL,POISON
Bone Club,GROUND,65,85,PHYSICAL,FLINCH
Fire Blast,FIRE,110,85,SPECIAL,BURN
Waterfall,WATER,80,100,PHYSICAL,NONE
Clamp,WATER,35,85,PHYSICAL,TRAP
Swift,NORMAL,60,100,SPECIAL,NEVER_MISS
Skull Bash,NORMAL,130,100,PHYSICAL,CHARGE
Spike Cannon,NORMAL,20,100,PHYSICAL,MULTI_HIT
Constrict,NORMAL,10,100,PHYSICAL,LOWER_SPD
Amnesia,PSYCHIC,0,100,STATUS,BOOST_SPD
Kinesis,PSYCHIC,0,80,STATUS,LOWER_ACC
Soft-Boiled,NORMAL,0,100,STATUS,HEAL_USER
High Jump Kick,FIGHTING,130,90,PHYSICAL,RECOIL
Glare,NORMAL,0,100,STATUS,PARALYZE
Dream Eater,PSYCHIC,100,100,SPECIAL,HEAL_USER
Poison Gas,POISON,0,90,STATUS,POISON
Barrage,NORMAL,15,85,PHYSICAL,MULTI_HIT
Leech Life,BUG,20,100,PHYSICAL,HEAL_USER
Lovely Kiss,NORMAL,0,75,STATUS,SLEEP
Sky Attack,FLYING,140,90,PHYSICAL,CHARGE
Transform,NORMAL,0,100,STATUS,TRANSFORM
Bubble,WATER,40,100,SPECIAL,LOWER_SPD
Dizzy Punch,NORMAL,70,100,PHYSICAL,CONFUSE
Spore,GRASS,0,100,STATUS,SLEEP
Flash,NORMAL,0,100,STATUS,LOWER_ACC
Psywave,PSYCHIC,0,100,SPECIAL,VARIABLE
Splash,NORMAL,0,100,STATUS,NONE
Acid Armor,POISON,0,100,STATUS,BOOST_DEF
Crabhammer,WATER,100,90,PHYSICAL,CRIT
Explosion,NORMAL,250,100,PHYSICAL,KO_USER
Fury Swipes,NORMAL,18,80,PHYSICAL,MULTI_HIT
Bonemerang,GROUND,50,90,PHYSICAL,MULTI_HIT
Rest,PSYCHIC,0,100,STATUS,HEAL_SLEEP
Rock Slide,ROCK,75,90,PHYSICAL,FLINCH
Hyper Fang,NORMAL,80,90,PHYSICAL,FLINCH
Sharpen,NORMAL,0,100,STATUS,BOOST_ATK
Conversion,NORMAL,0,100,STATUS,CHANGE_TYPE
Tri Attack,NORMAL,80,100,SPECIAL,STATUS_RANDOM
Super Fang,NORMAL,0,90,PHYSICAL,HALF_HP
Slash,NORMAL,70,100,PHYSICAL,CRIT
Substitute,NORMAL,0,100,STATUS,SUBSTITUTE
Struggle,NORMAL,50,100,PHYSICAL,RECOIL
