id,name,hp,atk,def,spd,type1,type2,spAtk,spDef,moves
36,Clefable,95,70,73,60,NORMAL,,95,90,Pound;Sing;Metronome;Minimize;Ice Beam;Thunderbolt;Flamethrower
37,Vulpix,38,41,40,65,FIRE,,50,65,Ember;Tail Whip;Quick Attack;Roar;Confuse Ray;Flamethrower;Fire Spin
38,Ninetales,73,76,75,100,FIRE,,81,100,Ember;Quick Attack;Confuse Ray;Flamethrower;Fire Spin;Fire Blast
39,Jigglypuff,115,45,20,20,NORMAL,,45,25,Sing;Pound;Disable;Defense Curl;Double Slap;Rest;Body Slam;Double-Edge
40,Wigglytuff,140,70,45,45,NORMAL,,85,50,Sing;Pound;Double Slap;Body Slam;Hyper Beam;Blizzard;Thunder
41,Zubat,40,45,35,55,POISON,FLYING,30,40,Leech Life;Supersonic;Bite;Confuse Ray;Wing Attack;Haze
42,Golbat,75,80,70,90,POISON,FLYING,65,75,Leech Life;Supersonic;Bite;Confuse Ray;Wing Attack;Haze
43,Oddish,45,50,55,30,GRASS,POISON,75,65,Absorb;Sweet Scent;Poison Powder;Stun Spore;Sleep Powder;Acid;Petal Dance;Solar Beam
44,Gloom,60,65,70,40,GRASS,POISON,85,75,Absorb;Poison Powder;Stun Spore;Sleep Powder;Acid;Petal Dance;Solar Beam
45,Vileplume,75,80,85,50,GRASS,POISON,110,90,Absorb;Stun Spore;Sleep Powder;Acid;Petal Dance;Solar Beam
46,Paras,35,70,55,25,BUG,GRASS,45,55,Scratch;Stun Spore;Leech Life;Spore;Slash;Growth;Solar Beam
47,Parasect,60,95,80,30,BUG,GRASS,60,80,Scratch;Stun Spore;Leech Life;Spore;Slash;Growth;Solar Beam
48,Venonat,60,55,50,45,BUG,POISON,40,55,Tackle;Disable;Poison Powder;Leech Life;Stun Spore;Psybeam;Sleep Powder;Psychic
49,Venomoth,70,65,60,90,BUG,POISON,90,75,Tackle;Disable;Poison Powder;Leech Life;Stun Spore;Psybeam;Sleep Powder;Psychic
50,Diglett,10,55,25,95,GROUND,,35,45,Sand Attack;Scratch;Growl;Dig;Slash;Earthquake
51,Dugtrio,35,80,50,120,GROUND,,50,70,Sand Attack;Scratch;Growl;Dig;Slash;Earthquake
52,Meowth,40,45,35,90,NORMAL,,40,40,Scratch;Growl;Bite;Pay Day;Fury Swipes;Screech;Slash
53,Persian,65,70,60,115,NORMAL,,65,65,Scratch;Growl;Bite;Pay Day;Fury Swipes;Screech;Slash
54,Psyduck,50,52,48,55,WATER,,65,50,Scratch;Tail Whip;Disable;Confusion;Fury Swipes;Hydro Pump
55,Golduck,80,82,78,85,WATER,,95,80,Scratch;Tail Whip;Disable;Confusion;Fury Swipes;Hydro Pump;Surf;Blizzard
56,Mankey,40,80,35,70,FIGHTING,,35,45,Scratch;Leer;Karate Chop;Fury Swipes;Focus Energy;Seismic Toss;Thrash
57,Primeape,65,105,60,95,FIGHTING,,60,70,Scratch;Leer;Karate Chop;Fury Swipes;Focus Energy;Seismic Toss;Thrash
58,Growlithe,55,70,45,60,FIRE,,70,50,Bite;Roar;Ember;Leer;Take Down;Flamethrower;Agility
59,Arcanine,90,110,80,95,FIRE,,100,80,Bite;Roar;Ember;Leer;Take Down;Flamethrower;Extreme Speed
60,Poliwag,40,50,40,90,WATER,,40,40,Bubble;Hypnosis;Water Gun;Double Slap;Body Slam;Amnesia;Hydro Pump
61,Poliwhirl,65,65,65,90,WATER,,50,50,Bubble;Hypnosis;Water Gun;Double Slap;Body Slam;Amnesia;Hydro Pump
62,Poliwrath,90,95,95,70,WATER,FIGHTING,70,90,Hypnosis;Water Gun;Double Slap;Body Slam;Submission;Hydro Pump
63,Abra,25,20,15,90,PSYCHIC,,105,55,Teleport
64,Kadabra,40,35,30,105,PSYCHIC,,120,70,Teleport;Confusion;Disable;Psybeam;Recover;Psychic;Reflect
65,Alakazam,55,50,45,120,PSYCHIC,,135,95,Teleport;Confusion;Disable;Psybeam;Recover;Psychic;Reflect
66,Machop,70,80,50,35,FIGHTING,,35,35,Karate Chop;Low Kick;Leer;Focus Energy;Seismic Toss;Submission
67,Machoke,80,100,70,45,FIGHTING,,50,60,Karate Chop;Low Kick;Leer;Focus Energy;Seismic Toss;Submission
68,Machamp,90,130,80,55,FIGHTING,,65,85,Karate Chop;Low Kick;Leer;Focus Energy;Seismic Toss;Submission
69,Bellsprout,50,75,35,40,GRASS,POISON,70,30,Vine Whip;Growth;Wrap;Poison Powder;Sleep Powder;Stun Spore;Razor Leaf;Slam
70,Weepinbell,65,90,50,55,GRASS,POISON,85,45,Vine Whip;Growth;Wrap;Poison Powder;Sleep Powder;Stun Spore;Razor Leaf;Slam
71,Victreebel,80,105,65,70,GRASS,POISON,100,70,Vine Whip;Sleep Powder;Razor Leaf;Slam;Solar Beam
72,Tentacool,40,40,35,70,WATER,POISON,50,100,Acid;Supersonic;Wrap;Poison Sting;Water Gun;Constrict;Barrier;Hydro Pump
73,Tentacruel,80,70,65,100,WATER,POISON,80,120,Acid;Supersonic;Wrap;Poison Sting;Water Gun;Constrict;Barrier;Hydro Pump;Surf
74,Geodude,40,80,100,20,ROCK,GROUND,30,30,Tackle;Defense Curl;Rock Throw;Magnitude;Self-Destruct;Rollout;Earthquake;Explosion
75,Graveler,55,95,115,35,ROCK,GROUND,45,45,Tackle;Defense Curl;Rock Throw;Magnitude;Self-Destruct;Rollout;Earthquake;Explosion
76,Golem,80,120,130,45,ROCK,GROUND,55,65,Tackle;Defense Curl;Rock Throw;Magnitude;Self-Destruct;Rollout;Earthquake;Explosion
77,Ponyta,50,85,55,90,FIRE,,65,65,Ember;Tail Whip;Stomp;Fire Spin;Take Down;Agility;Fire Blast
78,Rapidash,65,100,70,105,FIRE,,80,80,Ember;Tail Whip;Stomp;Fire Spin;Take Down;Agility;Fire Blast
79,Slowpoke,90,65,65,15,WATER,PSYCHIC,40,40,Curse;Tackle;Growl;Water Gun;Confusion;Disable;Headbutt;Amnesia;Psychic
80,Slowbro,95,75,110,30,WATER,PSYCHIC,100,80,Curse;Tackle;Growl;Water Gun;Confusion;Disable;Headbutt;Amnesia;Psychic;Withdraw
81,Magnemite,25,35,70,45,ELECTRIC,,95,55,Tackle;Sonic Boom;Thunder Shock;Thunder Wave;Swift;Screech;Thunderbolt
82,Magneton,50,60,95,70,ELECTRIC,,120,70,Tackle;Sonic Boom;Thunder Shock;Thunder Wave;Swift;Screech;Thunderbolt;Thunder
83,Farfetch'd,52,65,55,60,NORMAL,FLYING,58,62,Peck;Sand Attack;Leer;Fury Cutter;Fury Attack;Swords Dance;Agility;Slash
84,Doduo,35,85,45,75,NORMAL,FLYING,35,35,Peck;Growl;Fury Attack;Drill Peck;Rage;Tri Attack;Agility
85,Dodrio,60,110,70,100,NORMAL,FLYING,60,60,Peck;Growl;Fury Attack;Drill Peck;Rage;Tri Attack;Agility
86,Seel,65,45,55,45,WATER,,45,70,Headbutt;Growl;Aurora Beam;Rest;Take Down;Ice Beam
87,Dewgong,90,70,80,70,WATER,ICE,70,95,Headbutt;Growl;Aurora Beam;Rest;Take Down;Ice Beam;Blizzard
88,Grimer,80,80,50,25,POISON,,40,50,Pound;Poison Gas;Minimize;Sludge;Harden;Screech;Acid Armor
89,Muk,105,105,75,50,POISON,,65,100,Pound;Poison Gas;Minimize;Sludge;Harden;Screech;Acid Armor
90,Shellder,30,65,100,40,WATER,,45,25,Tackle;Withdraw;Supersonic;Clamp;Aurora Beam;Leer;Ice Beam
91,Cloyster,50,95,180,70,WATER,ICE,85,45,Withdraw;Supersonic;Clamp;Aurora Beam;Spike Cannon;Ice Beam;Blizzard
92,Gastly,30,35,30,80,GHOST,POISON,100,35,Lick;Confuse Ray;Night Shade;Hypnosis;Dream Eater
93,Haunter,45,50,45,95,GHOST,POISON,115,55,Lick;Confuse Ray;Night Shade;Hypnosis;Dream Eater
94,Gengar,60,65,60,110,GHOST,POISON,130,75,Lick;Confuse Ray;Night Shade;Hypnosis;Dream Eater;Psychic;Thunder
95,Onix,35,45,160,70,ROCK,GROUND,30,45,Tackle;Screech;Bind;Rock Throw;Rage;Slam;Harden;Earthquake
96,Drowzee,60,48,45,42,PSYCHIC,,43,90,Pound;Hypnosis;Disable;Confusion;Headbutt;Poison Gas;Psychic;Meditate
97,Hypno,85,73,70,67,PSYCHIC,,73,115,Pound;Hypnosis;Disable;Confusion;Headbutt;Poison Gas;Psychic;Meditate
98,Krabby,30,105,90,50,WATER,,25,25,Bubble;Leer;Vice Grip;Guillotine;Stomp;Crabhammer
99,Kingler,55,130,115,75,WATER,,50,50,Bubble;Leer;Vice Grip;Guillotine;Stomp;Crabhammer;Hyper Beam
100,Voltorb,40,30,50,100,ELECTRIC,,55,55,Tackle;Screech;Sonic Boom;Self-Destruct;Light Screen;Swift;Explosion
101,Electrode,60,50,70,140,ELECTRIC,,80,80,Tackle;Screech;Sonic Boom;Self-Destruct;Light Screen;Swift;Explosion
102,Exeggcute,60,40,80,40,GRASS,PSYCHIC,60,45,Barrage;Hypnosis;Reflect;Leech Seed;Stun Spore;Poison Powder;Sleep Powder;Solar Beam
103,Exeggutor,95,95,85,55,GRASS,PSYCHIC,125,65,Barrage;Hypnosis;Stomp;Psychic;Solar Beam
104,Cubone,50,50,95,35,GROUND,,40,50,Growl;Bone Club;Tail Whip;Headbutt;Leer;Focus Energy;Thrash;Bonemerang
105,Marowak,60,80,110,45,GROUND,,50,80,Growl;Bone Club;Tail Whip;Headbutt;Leer;Focus Energy;Thrash;Bonemerang
106,Hitmonlee,50,120,53,87,FIGHTING,,35,110,Double Kick;Meditate;Rolling Kick;Jump Kick;Focus Energy;High Jump Kick;Mega Kick
107,Hitmonchan,50,105,79,76,FIGHTING,,35,110,Comet Punch;Agility;Fire Punch;Ice Punch;Thunder Punch;Mega Punch;Counter
108,Lickitung,90,55,75,30,NORMAL,,60,75,Lick;Supersonic;Stomp;Disable;Defense Curl;Slam;Screech
109,Koffing,40,65,95,35,POISON,,60,45,Tackle;Smog;Sludge;Self-Destruct;Haze;Explosion
110,Weezing,65,90,120,60,POISON,,85,70,Tackle;Smog;Sludge;Self-Destruct;Haze;Explosion
111,Rhyhorn,80,85,95,25,GROUND,ROCK,30,30,Horn Attack;Stomp;Tail Whip;Fury Attack;Horn Drill;Leer;Take Down
112,Rhydon,105,130,120,40,GROUND,ROCK,45,45,Horn Attack;Stomp;Tail Whip;Fury Attack;Horn Drill;Leer;Take Down;Earthquake
113,Chansey,250,5,5,50,NORMAL,,35,105,Pound;Growl;Sing;Double Slap;Minimize;Soft-Boiled;Defense Curl;Light Screen
114,Tangela,65,55,115,60,GRASS,,100,40,Constrict;Bind;Absorb;Poison Powder;Stun Spore;Sleep Powder;Slam;Growth
115,Kangaskhan,105,95,80,90,NORMAL,,40,80,Comet Punch;Leer;Bite;Tail Whip;Mega Punch;Rage;Dizzy Punch
116,Horsea,30,40,70,60,WATER,,70,25,Bubble;Smokescreen;Leer;Water Gun;Agility;Hydro Pump
117,Seadra,55,65,95,85,WATER,,95,45,Bubble;Smokescreen;Leer;Water Gun;Agility;Hydro Pump;Surf
118,Goldeen,45,67,60,63,WATER,,35,50,Peck;Tail Whip;Supersonic;Horn Attack;Fury Attack;Waterfall;Horn Drill
119,Seaking,80,92,65,68,WATER,,65,80,Peck;Tail Whip;Supersonic;Horn Attack;Fury Attack;Waterfall;Horn Drill
120,Staryu,30,45,55,85,WATER,,70,55,Tackle;Swift;Recover;Minimize;Light Screen;Hydro Pump
121,Starmie,60,75,85,115,WATER,PSYCHIC,100,85,Tackle;Swift;Recover;Hydro Pump;Psychic;Surf;Blizzard
122,Mr. Mime,40,45,65,90,PSYCHIC,,100,120,Confusion;Barrier;Light Screen;Reflect;Substitute;Meditate;Psychic
123,Scyther,70,110,80,105,BUG,FLYING,55,70,Quick Attack;Leer;Focus Energy;Double Team;Slash;Swords Dance;Agility
124,Jynx,65,50,35,95,ICE,PSYCHIC,115,95,Pound;Lovely Kiss;Powder Snow;Double Slap;Ice Punch;Body Slam;Thrash;Blizzard
125,Electabuzz,65,83,57,105,ELECTRIC,,95,85,Quick Attack;Leer;Thunder Punch;Light Screen;Swift;Screech;Thunderbolt;Thunder
126,Magmar,65,95,57,93,FIRE,,100,85,Ember;Leer;Confuse Ray;Fire Punch;Smokescreen;Flamethrower;Fire Blast
127,Pinsir,65,125,100,85,BUG,,55,70,Vice Grip;Focus Energy;Bind;Seismic Toss;Guillotine;Swords Dance;Submission
128,Tauros,75,100,95,110,NORMAL,,40,70,Tackle;Tail Whip;Leer;Rage;Take Down;Stomp;Thrash
129,Magikarp,20,10,55,80,WATER,,15,20,Splash;Tackle;Flail
130,Gyarados,95,125,79,81,WATER,FLYING,60,100,Bite;Dragon Rage;Leer;Hydro Pump;Hyper Beam;Surf
131,Lapras,130,85,80,60,WATER,ICE,85,95,Water Gun;Growl;Sing;Mist;Body Slam;Confuse Ray;Ice Beam;Hydro Pump
132,Ditto,48,48,48,48,NORMAL,,48,48,Transform
133,Eevee,55,55,50,55,NORMAL,,45,65,Tackle;Tail Whip;Sand Attack;Quick Attack;Bite;Take Down
134,Vaporeon,130,65,60,65,WATER,,110,95,Water Gun;Quick Attack;Bite;Aurora Beam;Haze;Acid Armor;Hydro Pump;Surf
135,Jolteon,65,65,60,130,ELECTRIC,,110,95,Thunder Shock;Quick Attack;Double Kick;Pin Missile;Thunder Wave;Agility;Thunder
136,Flareon,65,130,60,65,FIRE,,95,110,Ember;Quick Attack;Bite;Fire Spin;Smog;Leer;Flamethrower;Fire Blast
137,Porygon,65,60,70,40,NORMAL,,85,75,Tackle;Conversion;Sharpen;Psybeam;Recover;Agility;Tri Attack
138,Omanyte,35,40,100,35,ROCK,WATER,90,55,Water Gun;Withdraw;Horn Attack;Leer;Spike Cannon;Hydro Pump
139,Omastar,70,60,125,55,ROCK,WATER,115,70,Water Gun;Withdraw;Horn Attack;Leer;Spike Cannon;Hydro Pump;Ancient Power
140,Kabuto,30,80,90,55,ROCK,WATER,55,45,Scratch;Harden;Absorb;Leer;Slash;Hydro Pump
141,Kabutops,60,115,105,80,ROCK,WATER,65,70,Scratch;Harden;Absorb;Leer;Slash;Hydro Pump;Mega Drain
142,Aerodactyl,80,105,65,130,ROCK,FLYING,60,75,Wing Attack;Agility;Take Down;Supersonic;Bite;Hyper Beam
143,Snorlax,160,110,65,30,NORMAL,,65,110,Headbutt;Amnesia;Rest;Body Slam;Harden;Double-Edge;Hyper Beam
144,Articuno,90,85,100,85,ICE,FLYING,95,125,Peck;Ice Beam;Blizzard;Agility;Mist
145,Zapdos,90,90,85,100,ELECTRIC,FLYING,125,90,Peck;Thunder Shock;Drill Peck;Thunder;Agility;Light Screen
146,Moltres,90,100,90,90,FIRE,FLYING,125,85,Peck;Fire Spin;Sky Attack;Agility;Leer;Fire Blast
147,Dratini,41,64,45,50,DRAGON,,50,50,Wrap;Leer;Thunder Wave;Agility;Slam;Dragon Rage;Hyper Beam
148,Dragonair,61,84,65,70,DRAGON,,70,70,Wrap;Leer;Thunder Wave;Agility;Slam;Dragon Rage;Hyper Beam
149,Dragonite,91,134,95,80,DRAGON,FLYING,100,100,Wrap;Leer;Thunder Wave;Agility;Slam;Dragon Rage;Hyper Beam;Surf
150,Mewtwo,106,110,90,130,PSYCHIC,,154,90,Confusion;Disable;Swift;Psychic;Barrier;Recover;Mist;Amnesia
151,Mew,100,100,100,100,PSYCHIC,,100,100,Pound;Transform;Mega Punch;Metronome;Psychic;Swift;Ancient Power
